serverId,name,categories
1801,lwgy,minigames|pvp
1802,meandalexh,smp|oldPVP|pvp
1803,AskiSMP,smp
1804,flamebasesmp,smp
1805,PatchPanda,smp
1806,RazPrison,pvp|prison
1807,TheLIFEs6942,smp
1808,SoftSky,pvp
1809,rescal,pvp
1810,WeidenSmp,smp|pvp
1811,SaltyBett,smp|rolePlay
1812,SunFireSMP,smp|minigames|pvp
1813,SigmaaSMP,smp|pvp
1814,LifeDupe33,smp|pvp|box
1815,LifeSlay,smp
1816,DaddyBoxs,gens|skyblock
1817,Fablosy,factions
1818,BloodyLife,smp|pvp
1819,ZuzgaKanal,smp
1820,pikuchusmp,smp
1821,SmpChochy2,smp
1822,CavernsPR,minigames|prison|farming
1823,Lifesteals66,smp|minigames
1824,RS2319,smp
1825,ExienDevBox,pvp
1826,AcideBox,pvp|smp|factions
1827,PLNBOX,pvp
1828,SastacCraft,box|pvp|minigames
1829,WinemSMP,smp
1830,1tryhardcore,smp
1831,Zssmp2,smp
1832,ivoryhouse,smp
1833,Strawwsmp,smp
1834,bruhomomen,creative
1835,Animememe10,smp
1836,AryxLife,smp|pvp
1837,blobemus,smp
1838,Bobertsocool,smp
1839,T1zchi,smp
1840,WOJANKOXS,box|smp
1841,CBASMPS,smp
1842,ANGBox,gens|pvp|farming
1843,LeafarSteal,smp
1844,Sixpvp,farming
1845,CityBuildSer,smp
1846,SpeedCPEA,minigames|pvp
1847,Honksxxsmp,smp
1848,Urcraft11,pvp|factions
1849,FishnetInc,rolePlay|smp
1850,radmanfp,oldPVP|pvp|modded
1851,Aethroz,rolePlay|rpg
1852,HornetMines,box
1853,thegangfor,rolePlay|smp
1854,InstinctXX,smp
1855,blockbuild1,gens
1856,swizzleboi09,smp|factions
1857,PVParenago,pvp
1858,ser2ver75,creative
1859,Hero227,smp
1860,DaanenJori,prison|rolePlay|smp
1861,gatbox,pvp|box
1862,DamageLink,smp
1863,Lifesteal853,smp|pvp
1864,LagoonBETA,oldPVP|pvp|farming
1865,Bon96SMP,smp
1866,oRiskssmp,smp
1867,Forsakennet,smp
1868,McWify,minigames|modded|pvp
1869,Lifezbox,box|pvp
1870,huntrunterm,smp
1871,Bennycatty,smp|factions
1872,4325SMP,smp
1873,VanillaAndy,smp
1874,BoxBattlesX,box|pvp
1875,GameCHNRSMC,smp
1876,RirBox,pvp
1877,marinebox,smp
1878,ArcherzSMP,smp|factions
1879,jeden18ss,smp
1880,FamilyCraft,rolePlay|rpg
1881,7eMC,smp
1882,leafmanandco,smp
1883,CraftAttack5,smp
1884,donhector,rolePlay|smp
1885,isyserver,smp
1886,ToxicGens,gens|farming|pvp
1887,Tamplebox,pvp|modded
1888,AmplifiedPVP,pvp|smp
1889,SoulsXZ,smp
1890,StormLifee,smp
1891,boxminev,prison|pvp
1892,JustPrac,smp|pvp|box
1893,Cyclonal,gens
1894,Pasauliite,smp
1895,CwooKi2,smp
1896,wasner,smp
1897,tapebox,farming|pvp|box
1898,PureLibrary,smp
1899,Cgfriends2,smp
1900,Toastgangx,creative|smp
1901,JMSBoxSteal,box|pvp
1902,ThebreadSMPP,smp
1903,MetaDataSmp,smp
1904,F5AAPHEEEK,smp
1905,bounySMP,smp
1906,TotBoxV2,pvp|prison|farming
1907,Azulbesmp,smp|pvp
1908,ElytraBoxer,pvp|farming|smp
1909,Technuu,farming|rpg
1910,underprison,prison
1911,JGFunda,smp
1912,No5291LS,smp
1913,MausBox,farming|gens|pvp
1914,MarsleyBar,smp
1915,freeop563,creative
1916,stealboxx,pvp|box
1917,KUPLONGA,smp
1918,TimeMiner,pvp|modded
1919,ChknMines,gens|box
1920,BaitBox,box
1921,TheTntBox,minigames|box
1922,IceBox6,pvp
1923,ItsDev,pvp
1924,Xylosma,smp|rolePlay|rpg
1925,chockdex,prison|oldPVP|rolePlay
1926,MineChive,prison|box
1927,vecca,pvp
1928,DupeParadise,smp
1929,prespasmp,rpg|rolePlay
1930,DuelMining,prison|pvp|box
1931,The0neSmp4u,smp
1932,LoatBox,box|pvp|farming
1933,lodgebox,pvp
1934,smpyoinklife,smp
1935,yroro,smp
1936,GriendSMP,smp|pvp|farming
1937,IceRealms,pvp
1938,ObbyGrinders,minigames|farming
1939,TrueSteal,smp|pvp
1940,digforlife,farming
1941,LifeStilSMP,smp
1942,VeryBox,box|smp|pvp
1943,Soccerjrh,smp
1944,cryptonoob,smp
1945,18pkow,smp
1946,TrueBoXX,pvp|farming
1947,craftmpsmp,smp
1948,LovelyOnline,smp|modded|farming
1949,5218,minigames|skyblock|creative
1950,BounceHouse,smp
1951,DoomDungeons,rpg|farming
1952,oldpvpbox,oldPVP|farming|pvp
1953,Lifestealxxl,smp
1954,LeoDSMP,smp
1955,no1isme,smp
1956,Brompvp,minigames
1957,Precend,pvp
1958,Hotoun,rpg|pvp|farming
1959,LifeLossLol,smp
1960,boxdaddy,box
1961,TheKFCBox,pvp|box
1962,ThunderMines,pvp|box
1963,thebackrooms,pvp
1964,SCPMinecraft,rpg|pvp|rolePlay
1965,OldCombatSMP,smp
1966,Spluebux,smp
1967,5b4n,pvp|smp|minigames
1968,Lightsabers,pvp|rpg
1969,LukkyBlock,modded|pvp|creative
1970,Engulf,farming|gens|pvp
1971,Rockyssbox,pvp|box
1972,Cubicbox,rpg|prison|pvp
1973,KiedyXlajtHC,smp
1974,DeathWalker,smp
1975,100Box,pvp|gens|prison
1976,clashroyale,pvp|farming|gens
1977,myathsmp,smp
1978,luckyblocks,pvp|minigames|modded
1979,NicksArcad,smp|modded
1980,Broach,smp
1981,AtzBox,pvp
1982,smp935,smp
1983,OCSMPSER,smp
1984,funeventsmp,smp
1985,WildMP,smp|factions|rpg
1986,AutoNitro,oldPVP|pvp|rpg
1987,GamingbyNoah,farming|rolePlay
1988,TeeManSMP,smp
1989,SKYCoast,skyblock|prison|rpg
1990,NederlandSMP,smp
1991,FoodsBox,smp|pvp
1992,steelforreal,pvp|modded|smp
1993,wisly,pvp
1994,LifeStealZ,smp|pvp|factions
1995,DevsHub,creative
1996,Idelia,factions
1997,RogueBox12,smp|pvp
1998,BoxCpu,box
1999,AstrosBox,smp|pvp
2000,blckmines,minigames|smp|rolePlay
2001,Lifesteal12i,smp
2002,survivalxdl,smp
2003,amplaoumpla,box
2004,SlxyAwaken,smp
2005,Jamesfrosts,creative|rolePlay|minigames
2006,Turretz,pvp|modded
2007,ZarzailSMP,smp
2008,Hamalasmp,smp
2009,T1tgqSMP,smp|pvp
2010,EnchantedNW,gens
2011,Catilius,smp|pvp|modded
2012,WvySteal,smp
2013,boxpvpp,pvp|gens
2014,visorbox,gens|factions|pvp
2015,Tisniendms,smp
2016,Restdead,smp|factions|pvp
2017,CustomEncBox,factions|modded|pvp
2018,Sowebackin12,smp
2019,BOXFARM2022,farming|box
2020,Baddie54,smp|pvp|factions
2021,Shrimpville,smp|rolePlay
2022,Voltmanhunt,smp|pvp
2023,GenFire,gens
2024,popclick,smp
2025,NatikoSurv,smp
2026,anyjoes,smp
2027,BoxDry,farming|pvp
2028,golddigger43,creative
2029,fs11,box|pvp
2030,bbboxxx,box
2031,Max202012,smp
2032,LifesTe4ll,pvp|oldPVP
2033,cfor,smp|rolePlay
2034,LucDServer,smp
2035,yestrashye,smp
2036,PlantsCanyon,smp
2037,boxeltrade,prison|farming|pvp
2038,Neversummer,factions|smp
2039,boxpvp34,pvp|gens|rpg
2040,chceszpl,pixelmon
2041,SoulNetwork,pvp|smp
2042,EnhancedBox,pvp|modded
2043,Voidstep,smp
2044,coolbryce11,smp
2045,BoltKnight,smp
2046,LavaBoxy14,box|pvp
2047,Allyscraft,smp
2048,8084406676,smp
2049,Baess373,smp
2050,perish,pvp|prison
2051,SCPUniverse,pvp|rpg|prison
2052,empierssmp,smp|factions|pvp
2053,Turtle5100,smp
2054,mcmakoncom12,minigames
2055,pufferduck,box
2056,o2steal,pvp|smp|factions
2057,fishyguys,smp|pvp|rolePlay
2058,IcyyCpvp,pvp
2059,Flowerserver,smp
2060,boyssmp6969,smp
2061,3secondsSmp,smp|pvp|farming
2062,OnlineAmigos,oldPVP|pvp
2063,EPKBSMP,smp
2064,WitherSharp,smp
2065,cretifbanana,creative
2066,BoxCreeper,box|prison
2067,xb4g,creative
2068,RaceRPG,rpg|farming|skyblock
2069,Tuurxx,smp
2070,DPSBhopalSMP,smp
2071,Manhwareader,smp
2072,foxysgame,smp|pvp|farming
2073,GGlifesteal1,smp
2074,anarchySmpXX,smp
2075,MangoSquadbd,smp|minigames|skyblock
2076,MacBoxx2,gens|box
2077,BoxGome,pvp|box|farming
2078,alivela,smp|rolePlay
2079,boxofsun,pvp|modded
2080,RenarosSMP,smp|pvp|modded
2081,JustSkyblock,skyblock
2082,SBNullSMP,smp
2083,lssmpfriends,smp
2084,Duels101,pvp|minigames
2085,bSkyWars,oldPVP|pvp|minigames
2086,LostShineSmp,smp|rolePlay
2087,JusticedSMP,smp|rolePlay|pvp
2088,Penguinnclan,smp
2089,TrolMining,prison
2090,2hard2dupe,pvp|smp
2091,kittyboxcat,box
2092,MCCFacility,creative|rolePlay
2093,PeaceakaWar,smp|prison|minigames
2094,SolarGen,gens|pvp|farming
2095,DaSoviets2,smp|rpg|minigames
2096,simonearth,smp|factions
2097,VividPvp564,pvp|smp
2098,icelifesmp,smp|pvp|modded
2099,OnlyBoxZ,farming|pvp
2100,AkitaBox,box
